iter	Passed	Remaining
414	2882	11010
415	2888	10998
416	2895	10992
417	2902	10984
418	2909	10977
419	2917	10974
420	2922	10962
421	2931	10960
422	2937	10952
423	2945	10947
424	2952	10942
425	2959	10935
426	2966	10928
427	2972	10919
428	2979	10909
429	2986	10905
430	2995	10904
431	3002	10896
432	3008	10888
433	3015	10879
434	3021	10871
435	3028	10863
436	3034	10854
437	3041	10845
438	3048	10838
439	3054	10829
440	3060	10819
441	3067	10812
442	3073	10804
443	3080	10794
444	3086	10786
445	3093	10778
446	3100	10770
447	3106	10761
448	3112	10751
449	3118	10743
450	3125	10735
451	3132	10726
452	3138	10719
453	3145	10711
454	3151	10701
455	3157	10692
456	3164	10684
457	3170	10675
458	3176	10665
459	3183	10657
460	3189	10648
461	3195	10637
462	3201	10628
463	3207	10618
464	3214	10610
465	3220	10601
466	3226	10590
467	3232	10581
468	3238	10571
469	3244	10561
470	3250	10553
471	3256	10543
472	3263	10535
473	3269	10527
474	3275	10516
475	3282	10508
476	3288	10499
477	3295	10492
478	3301	10483
479	3308	10475
480	3314	10467
481	3321	10459
482	3327	10452
483	3334	10444
484	3339	10432
485	3346	10424
486	3352	10416
487	3359	10407
488	3365	10398
489	3371	10388
490	3377	10380
491	3383	10371
492	3390	10362
493	3396	10354
494	3402	10346
495	3409	10337
496	3415	10329
497	3421	10319
498	3427	10310
499	3433	10301
500	3439	10291
501	3445	10283
502	3451	10272
503	3457	10264
504	3464	10255
505	3470	10247
506	3476	10238
507	3483	10231
508	3490	10223
509	3496	10215
510	3502	10206
511	3509	10199
512	3515	10190
513	3521	10181
514	3527	10172
515	3534	10165
516	3541	10157
517	3547	10148
518	3553	10140
519	3559	10130
520	3566	10123
521	3572	10115
522	3579	10108
523	3586	10102
524	3592	10092
525	3599	10085
526	3606	10079
527	3612	10070
528	3618	10063
529	3625	10055
530	3632	10048
531	3638	10040
532	3645	10033
533	3652	10027
534	3659	10020
535	3666	10013
536	3672	10005
537	3679	9999
538	3686	9992
539	3692	9983
540	3698	9975
541	3705	9966
542	3711	9958
543	3717	9950
544	3723	9941
545	3730	9933
546	3736	9924
547	3741	9914
548	3748	9906
549	3754	9897
550	3760	9889
551	3766	9880
552	3772	9870
553	3778	9863
554	3785	9855
555	3791	9846
556	3798	9839
557	3803	9829
558	3810	9823
559	3816	9814
560	3822	9805
561	3828	9797
562	3834	9788
563	3841	9780
564	3847	9773
565	3853	9762
566	3859	9755
567	3865	9746
568	3871	9736
569	3877	9728
570	3883	9719
571	3890	9712
572	3896	9704
573	3902	9695
574	3909	9688
575	3915	9680
576	3921	9672
577	3928	9663
578	3933	9654
579	3940	9646
580	3946	9638
581	3952	9630
582	3959	9623
583	3965	9615
584	3972	9607
585	3978	9599
586	3984	9591
587	3991	9585
588	3998	9577
589	4004	9570
590	4011	9563
591	4017	9554
592	4024	9548
593	4030	9540
594	4036	9532
595	4043	9524
596	4048	9515
597	4055	9508
598	4062	9501
599	4068	9492
600	4074	9485
601	4081	9478
602	4088	9471
603	4094	9463
604	4101	9456
605	4108	9449
606	4114	9442
607	4120	9434
608	4128	9430
609	4135	9424
610	4143	9419
611	4150	9413
612	4157	9406
613	4163	9398
614	4170	9391
615	4177	9385
616	4184	9378
617	4190	9371
618	4197	9364
619	4204	9357
620	4210	9349
621	4216	9340
622	4222	9331
623	4228	9325
624	4235	9318
625	4242	9312
626	4249	9304
627	4255	9297
628	4262	9290
629	4269	9283
630	4276	9277
631	4283	9270
632	4289	9263
633	4296	9256
634	4302	9249
635	4309	9241
636	4315	9234
637	4322	9227
638	4329	9220
639	4335	9212
640	4342	9206
641	4348	9198
642	4355	9191
643	4362	9185
644	4369	9178
645	4375	9171
646	4382	9164
647	4388	9157
648	4395	9150
649	4402	9142
650	4409	9136
651	4415	9129
652	4422	9122
653	4429	9117
654	4437	9111
655	4444	9105
656	4450	9097
657	4457	9090
658	4463	9082
659	4470	9076
660	4477	9069
661	4483	9061
662	4490	9054
663	4496	9047
664	4503	9040
665	4509	9032
666	4516	9025
667	4523	9019
668	4529	9011
669	4536	9005
670	4543	8999
671	4550	8993
672	4558	8989
673	4565	8981
674	4572	8974
675	4579	8969
676	4586	8963
677	4593	8957
678	4600	8950
679	4608	8946
680	4615	8939
681	4622	8933
682	4629	8927
683	4636	8920
684	4644	8915
685	4651	8909
686	4658	8904
687	4666	8898
688	4673	8892
689	4681	8888
690	4688	8882
691	4695	8875
692	4702	8869
693	4710	8863
694	4717	8857
695	4725	8852
696	4732	8847
697	4739	8841
698	4746	8835
699	4754	8829
700	4761	8823
701	4768	8816
702	4775	8809
703	4782	8803
704	4789	8796
705	4796	8790
706	4803	8784
707	4810	8777
708	4816	8770
709	4823	8764
710	4830	8757
711	4837	8750
712	4844	8744
713	4851	8737
714	4858	8732
715	4865	8725
716	4872	8719
717	4879	8713
718	4886	8706
719	4893	8699
720	4900	8693
721	4907	8686
722	4914	8679
723	4921	8673
724	4928	8666
725	4934	8659
726	4941	8653
727	4949	8647
728	4956	8641
729	4962	8634
730	4969	8626
731	4976	8620
732	4983	8613
733	4990	8607
734	4997	8600
735	5003	8593
736	5010	8586
737	5017	8580
738	5024	8573
739	5031	8567
740	5038	8561
741	5045	8554
742	5052	8548
743	5059	8541
744	5066	8534
745	5073	8527
746	5080	8521
747	5087	8514
748	5093	8507
749	5100	8501
750	5107	8494
751	5114	8488
752	5121	8481
753	5128	8475
754	5135	8468
755	5142	8461
756	5148	8454
757	5156	8448
758	5162	8441
759	5170	8435
760	5176	8428
761	5183	8421
762	5190	8415
763	5197	8409
764	5205	8403
765	5211	8396
766	5218	8389
767	5225	8383
768	5232	8376
769	5239	8369
770	5246	8363
771	5253	8356
772	5260	8349
773	5267	8343
774	5273	8336
775	5280	8329
776	5287	8322
777	5294	8315
778	5301	8309
779	5307	8301
780	5314	8295
781	5321	8288
782	5328	8282
783	5335	8275
784	5342	8269
785	5349	8262
786	5357	8256
787	5363	8250
788	5370	8243
789	5378	8237
790	5385	8230
791	5392	8224
792	5399	8218
793	5406	8211
794	5413	8205
795	5420	8198
796	5427	8192
797	5434	8185
798	5441	8178
799	5448	8172
800	5454	8165
801	5462	8159
802	5468	8152
803	5475	8145
804	5482	8138
805	5489	8131
806	5496	8125
807	5503	8118
808	5510	8112
809	5517	8105
810	5524	8099
811	5531	8092
812	5538	8086
