iter	Logloss
0	0.6645986023
1	0.6394661424
2	0.6175793593
3	0.5975767449
4	0.5793154127
5	0.5630494656
6	0.5493526476
7	0.5372412855
8	0.5262525635
9	0.515931444
10	0.5069994948
11	0.4989871114
12	0.4921540222
13	0.4857224799
14	0.4801383091
15	0.4749859178
16	0.4704469435
17	0.4663659634
18	0.4624209968
19	0.4590170559
20	0.4559834154
21	0.4529609985
22	0.4504495138
23	0.4484379849
24	0.4462259827
25	0.4444032593
26	0.4424911567
27	0.4407663845
28	0.4393538852
29	0.4378457879
30	0.4365567966
31	0.435524665
32	0.4343471035
33	0.4334108785
34	0.4325198161
35	0.4316156718
36	0.4308106656
37	0.4302401259
38	0.4295773553
39	0.4289438443
40	0.4284754774
41	0.4278772753
42	0.427417121
43	0.426900038
44	0.4264023709
45	0.425946679
46	0.4255940823
47	0.425269928
48	0.4249095256
49	0.4244678582
50	0.4241255731
51	0.4236761305
52	0.4232670661
53	0.422879754
54	0.4224448378
55	0.4220486993
56	0.4217968784
57	0.4214929064
58	0.4211965027
59	0.4208856439
60	0.420585812
61	0.4203128187
62	0.4200178087
63	0.4196985372
64	0.4194025438
65	0.4191638726
66	0.418965254
67	0.4187286174
68	0.4184154527
69	0.4181525235
70	0.41790409
71	0.4176249729
72	0.4173627489
73	0.417220147
74	0.4170277744
75	0.4168209669
76	0.4166067674
77	0.4164140828
78	0.4161599698
79	0.416011756
80	0.4158990173
81	0.4155493028
82	0.4153662347
83	0.4152383491
84	0.4150126072
85	0.4148093296
86	0.4146328973
87	0.4144911974
88	0.4143005439
89	0.4141487088
90	0.4139497715
91	0.4137358127
92	0.4135485399
93	0.4133845791
94	0.4132631463
95	0.413088857
96	0.4128854133
97	0.4126100803
98	0.412499783
99	0.4123438924
100	0.4121504279
101	0.4120922546
102	0.4119569024
103	0.4117996623
104	0.4116194933
105	0.4114057448
106	0.4111859639
107	0.4110117933
108	0.410909139
109	0.4107528517
110	0.4105822347
111	0.4104644843
112	0.4103348897
113	0.410167433
114	0.4099690823
115	0.4098454386
116	0.4096189338
117	0.4094154934
118	0.4093113675
119	0.4091354099
120	0.408977573
121	0.408822364
122	0.4087368334
123	0.4086465217
124	0.4084729614
125	0.4083334452
126	0.4081681146
127	0.4080360921
128	0.4079200507
129	0.4077036777
130	0.4076193441
131	0.4074247097
132	0.4072733799
133	0.4072073737
134	0.4071395433
135	0.4069752943
136	0.4068842875
137	0.4067391018
138	0.4066446771
139	0.4065277778
140	0.4064101834
141	0.4061921421
142	0.4060757141
143	0.406015703
144	0.4059069214
145	0.405731547
146	0.4056005893
147	0.405455797
148	0.4052755602
149	0.4050991313
150	0.4049891595
151	0.4049012926
152	0.4047745361
153	0.404648173
154	0.4045397949
155	0.4044197252
156	0.4043065152
157	0.4041476373
158	0.4040208503
